Series ID,"Annual2016",age,activity
TUU10101AA01016020,0.18,55 to 64 years,"Other activities, not elsewhere classified"
TUU10101AA01030695,9.52,65 to 74 years,Personal care activities
TUU10101AA01030851,1.26,65 to 74 years,Eating and drinking
TUU10101AA01030728,2.56,65 to 74 years,Household activities
TUU10101AA01030818,0.96,65 to 74 years,Purchasing goods and services
TUU10101AA01030754,0.13,65 to 74 years,Caring for and helping household members
TUU10101AA01030760,0.37,65 to 74 years,Caring for and helping nonhousehold members
TUU10101AA01030777,1.31,65 to 74 years,Working and work-related activities
TUU10101AA01030801,0.02,65 to 74 years,Educational activities
TUU10101AA01030946,0.48,65 to 74 years,"Organizational, civic, and religious activities"
TUU10101AA01030890,6.92,65 to 74 years,Leisure and sports
TUU10101AA01030954,0.21,65 to 74 years,"Telephone calls, mail, and e-mail"
TUU10101AA01030960,0.25,65 to 74 years,"Other activities, not elsewhere classified"
TUU10101AA01030694,10.07,75 years and over,Personal care activities
TUU10101AA01030850,1.39,75 years and over,Eating and drinking
TUU10101AA01030727,2.35,75 years and over,Household activities
TUU10101AA01030817,0.86,75 years and over,Purchasing goods and services
TUU10101AA01030753,0.14,75 years and over,Caring for and helping household members
TUU10101AA01030759,0.17,75 years and over,Caring for and helping nonhousehold members
TUU10101AA01030776,0.35,75 years and over,Working and work-related activities
TUU10101AA01030800,,75 years and over,Educational activities
TUU10101AA01030945,0.52,75 years and over,"Organizational, civic, and religious activities"
TUU10101AA01030885,7.6,75 years and over,Leisure and sports
TUU10101AA01030953,0.26,75 years and over,"Telephone calls, mail, and e-mail"
TUU10101AA01030959,0.31,75 years and over,"Other activities, not elsewhere classified"
